,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
225,Personal services,Culinary Arts,CR640,244,,,,244,,392,7,Cork Institute of Technology,,,,,,,,,,,
226,Personal services,Beverage Industry Management,CR650,209,,,,209,,316,7,Cork Institute of Technology,,,,,,,,,,,
227,Personal services,Culinary Studies,CR655,189,,,,189,,290,6,Cork Institute of Technology,,,,,,,,,,,
228,Personal services,Hospitality Studies,CR657,180,,163,,163,,198,6,Cork Institute of Technology,,,,,,,,,,,
229,Personal services,Tourism Management,CR660,252,,,,252,,325,8,Cork Institute of Technology,,,,,,,,,,,
230,Arts,Theatre and Drama Studies at CIT Cork School of Music,CR700,740,,645,,645,,982,8,Cork Institute of Technology,#,,,,,,,,,,
231,Engineering and engineering trades,Marine Electrotechnology at National Maritime College of Ireland,CR805,235,,,,235,,326,7,Cork Institute of Technology,,,,,,,,,,,
232,Information and Communication Technologies (ICTs),Information Technology,CR888,290,,,,290,,372,7,Cork Institute of Technology,,,,,,,,,,,
233,Information and Communication Technologies (ICTs),Computing in Information Technology,CT110,210,,,,210,,400,6,CCT College Dublin,,,,,,,,,,,
234,Information and Communication Technologies (ICTs),Information Technology,CT116,219,,,,219,,263,7,CCT College Dublin,,,,,,,,,,,
235,Information and Communication Technologies (ICTs),Information Technology,CT125,220,,,,220,,299,8,CCT College Dublin,,avp,,,,,,,,,
236,Business and administration,Business,CT325,338,,,,281,,338,8,CCT College Dublin,,avp,,,,,,,,,
237,Business and administration,Business,CW006,AQA,,AQA,,AQA,,254,6,"Institute of Technology, Carlow",,avp,,,,,,,,,
238,Business and administration,Business (options),CW018,298,,248,,248,,312,8,"Institute of Technology, Carlow",,,,,,,,,,,
239,Agriculture,Sustainable Farm Management and Agribusiness,CW027,266,,,,268,,360,7,"Institute of Technology, Carlow",,,,,,,,,,,
240,Welfare,Early Childhood Education and Care,CW028,252,,,,252,,301,8,"Institute of Technology, Carlow",,,,,,,,,,,
241,Business and administration,Business (options),CW037,195,,,,195,,400,7,"Institute of Technology, Carlow",#,,,,,,,,,,
242,Arts,Art (portfolio),CW038,700,,,,700,,700,8,"Institute of Technology, Carlow",#,,,,,,,,,,
243,Arts,Visual Communications and Design,CW047,214,,181,,181,,336,7,"Institute of Technology, Carlow",,,,,,,,,,,
244,Arts,Art (portfolio),CW057,700,,,,700,,700,7,"Institute of Technology, Carlow",#,,,,,,,,,,
245,Personal services,Tourism and Event Management,CW058,298,,,,298,,348,8,"Institute of Technology, Carlow",,,,,,,,,,,
246,Welfare,Applied Social Studies in Professional Social Care,CW068,245,,,,245,,292,8,"Institute of Technology, Carlow",,,,,,,,,,,
247,Personal services,Tourism and Event Management,CW077,217,,,,217,,311,7,"Institute of Technology, Carlow",,,,,,,,,,,
248,Agriculture,Sustainable Farm Management and Agribusiness,CW078,269,,,,269,,327,8,"Institute of Technology, Carlow",,,,,,,,,,,
249,Arts,Visual Communications and Design,CW088,274,,,,274,,340,8,"Institute of Technology, Carlow",,,,,,,,,,,
250,Health,Physiology and Health Science,CW106,451,,,,451,,509,6,"Institute of Technology, Carlow",,,,,,,,,,,
251,Environment,Analytical Science,CW107,277,,,,277,,445,7,"Institute of Technology, Carlow",,,,,,,,,,,
252,Biological and related sciences,Science (options),CW108,261,,,,261,,346,8,"Institute of Technology, Carlow",,,,,,,,,,,
253,Health,Pharmacy Technician Studies,CW116,250,,,,250,,388,6,"Institute of Technology, Carlow",,,,,,,,,,,
254,Environment,Biosciences,CW117,205,,,,205,,380,7,"Institute of Technology, Carlow",,,,,,,,,,,
255,Biological and related sciences,Science - Applied Biology or Applied Chemistry,CW126,191,,,,191,,424,6,"Institute of Technology, Carlow",,,,,,,,,,,
256,Biological and related sciences,Brewing and Distilling,CW128,263,,,,263,,318,8,"Institute of Technology, Carlow",,,,,,,,,,,
257,Personal services,Sport and Exercise Science,CW138,423,,,,423,,444,8,"Institute of Technology, Carlow",,,,,,,,,,,
258,Personal services,Strength and Conditioning,CW148,379,,,,379,,400,8,"Institute of Technology, Carlow",,,,,,,,,,,
259,Health,Sport Rehabilitation and Athletic Therapy,CW188,451,,448,,448,,466,8,"Institute of Technology, Carlow",,,,,,,,,,,
260,Information and Communication Technologies (ICTs),Computing - Applications or Programming,CW206,235,,,,235,,369,6,"Institute of Technology, Carlow",,,,,,,,,,,
261,Information and Communication Technologies (ICTs),Software Development,CW207,244,,,,244,,329,7,"Institute of Technology, Carlow",,,,,,,,,,,
262,Information and Communication Technologies (ICTs),Computer Games Development,CW208,279,,,,279,,327,8,"Institute of Technology, Carlow",,,,,,,,,,,
263,Information and Communication Technologies (ICTs),Information Technology Management,CW217,234,,,,234,,377,7,"Institute of Technology, Carlow",,,,,,,,,,,
264,Information and Communication Technologies (ICTs),Cybercrime and IT Security,CW227,233,,,,242,,357,7,"Institute of Technology, Carlow",,,,,,,,,,,
265,Information and Communication Technologies (ICTs),Computing in Interactive Digital Art and Design,CW237,212,,,,212,,337,7,"Institute of Technology, Carlow",,,,,,,,,,,
266,Information and Communication Technologies (ICTs),Software Development,CW238,297,,,,297,,341,8,"Institute of Technology, Carlow",,,,,,,,,,,
267,Information and Communication Technologies (ICTs),Information Technology Management,CW248,285,,,,285,,385,8,"Institute of Technology, Carlow",,,,,,,,,,,
268,Information and Communication Technologies (ICTs),Cybercrime and IT Security,CW258,293,,,,293,,358,8,"Institute of Technology, Carlow",,,,,,,,,,,
269,Information and Communication Technologies (ICTs),Computing in Interactive Digital Art and Design,CW268,287,,,,287,,369,8,"Institute of Technology, Carlow",,,,,,,,,,,
270,Architecture and construction,Architectural Technology,CW407,188,,,,188,,358,7,"Institute of Technology, Carlow",,,,,,,,,,,
271,Architecture and construction,Construction Management with Building Services,CW417,220,,,,220,,322,7,"Institute of Technology, Carlow",,,,,,,,,,,
272,Architecture and construction,Civil Engineering,CW427,199,,,,199,,347,7,"Institute of Technology, Carlow",,,,,,,,,,,
273,Architecture and construction,Construction (options),CW438,272,,,,272,,336,8,"Institute of Technology, Carlow",,,,,,,,,,,
274,Architecture and construction,Architectural Technology,CW468,262,,,,262,,358,8,"Institute of Technology, Carlow",,,,,,,,,,,
275,Architecture and construction,Civil Engineering,CW478,433,,,,433,,492,8,"Institute of Technology, Carlow",,,,,,,,,,,
276,Engineering and engineering trades,Aircraft Systems,CW507,293,,,,294,,399,7,"Institute of Technology, Carlow",,,,,,,,,,,
277,Engineering and engineering trades,Mechanical Engineering,CW517,276,,,,276,,371,7,"Institute of Technology, Carlow",,,,,,,,,,,
278,Engineering and engineering trades,Electronic Engineering,CW527,227,,,,227,,357,7,"Institute of Technology, Carlow",,,,,,,,,,,
279,Arts,TV and Media Production,CW547,301,,,,301,,413,7,"Institute of Technology, Carlow",,,,,,,,,,,
280,Engineering and engineering trades,Mechanical Engineering,CW548,321,,,,321,,371,8,"Institute of Technology, Carlow",,,,,,,,,,,
281,Engineering and engineering trades,Electronic Systems,CW558,280,,,,280,,361,8,"Institute of Technology, Carlow",,,,,,,,,,,
282,Engineering and engineering trades,Aerospace Engineering,CW568,380,,,,380,,442,8,"Institute of Technology, Carlow",,,,,,,,,,,
283,Arts,TV and Media Production,CW578,325,,,,325,,420,8,"Institute of Technology, Carlow",,,,,,,,,,,
284,Law,Legal Studies,CW706,163,,,,163,,377,6,"Institute of Technology, Carlow",,,,,,,,,,,
285,Arts,Industrial Design,CW707,207,,,,207,,380,7,"Institute of Technology, Carlow",#,,,,,,,,,,
286,Law,Law - LLB,CW708,302,,,,302,,349,8,"Institute of Technology, Carlow",,,,,,,,,,,
287,Welfare,Professional Social Care Practice,CW717,288,,,,288,,347,7,"Institute of Technology, Carlow",#,,,,,,,,,,
288,Arts,Product Design Innovation,CW728,252,,,,252,,359,8,"Institute of Technology, Carlow",,,,,,,,,,,
289,Welfare,Early Childhood Education and Care,CW748,270,,,,270,,327,8,"Institute of Technology, Carlow",,,,,,,,,,,
290,Welfare,Professional Social Care Practice,CW758,336,,,,336,,358,8,"Institute of Technology, Carlow",,,,,,,,,,,
291,Personal services,Sport Coaching and Business Management - GAA (portfolio),CW807,700,,,,700,,700,7,"Institute of Technology, Carlow",#,,,,,,,,,,
292,Business and administration,Media and Public Relations,CW808,251,,,,251,,298,8,"Institute of Technology, Carlow",,,,,,,,,,,
293,Personal services,Sport Coaching and Business Management - Rugby (portfolio),CW817,700,,,,700,,700,7,"Institute of Technology, Carlow",#,,,,,,,,,,
294,Personal services,Sport Coaching and Business Management - Soccer (portfolio),CW827,700,,,,700,,700,7,"Institute of Technology, Carlow",#,,,,,,,,,,
295,Information and Communication Technologies (ICTs),Digital Marketing with Analytics,CW837,200,,,,200,,356,7,"Institute of Technology, Carlow",,,,,,,,,,,
296,Information and Communication Technologies (ICTs),Digital Marketing with Analytics,CW848,254,,,,269,,326,8,"Institute of Technology, Carlow",,,,,,,,,,,
297,Personal services,"Sports Management and Coaching (options, portfolio)",CW858,700,,,,700,,700,8,"Institute of Technology, Carlow",#,,,,,,,,,,
298,Business and administration,Business,CW906,177,,,,177,,297,6,"Institute of Technology, Carlow",,,,,,,,,,,
299,Business and administration,Business (options),CW908,280,,,,280,,357,8,"Institute of Technology, Carlow",,,,,,,,,,,
300,Business and administration,Business (options),CW917,224,,,,224,,378,7,"Institute of Technology, Carlow",,,,,,,,,,,
301,Business and administration,Business with Law,CW926,210,,,,210,,409,6,"Institute of Technology, Carlow",,,,,,,,,,,
302,Business and administration,Accounting,CW936,231,,,,231,,403,6,"Institute of Technology, Carlow",,,,,,,,,,,
303,Business and administration,Business with Law,CW938,283,,,,283,,301,8,"Institute of Technology, Carlow",,,,,,,,,,,
304,Business and administration,Accounting,CW948,300,,,,300,,364,8,"Institute of Technology, Carlow",,,,,,,,,,,
305,Information and Communication Technologies (ICTs),Computing,DB500,218,,218,,218,,301,8,Dublin Business School,,avp,,,,,,,,,
306,Information and Communication Technologies (ICTs),Computing (Cloud Computing),DB501,227,,227,,227,,280,8,Dublin Business School,,avp,,,,,,,,,
307,Information and Communication Technologies (ICTs),Computing (Data Analytics and Big Data),DB502,341,,341,,334,,377,8,Dublin Business School,,avp,,,,,,,,,
308,Information and Communication Technologies (ICTs),Computing (Software Development),DB503,225,,225,,225,,281,8,Dublin Business School,,avp,,,,,,,,,
309,Information and Communication Technologies (ICTs),Computing (Web and Mobile Technology),DB504,,,281,,281,,281,8,Dublin Business School,,avp,,,,,,,,,
310,Arts,Audio Production and Music Project Management,DB510,234,,223,,223,,290,8,Dublin Business School,,avp,,,,,,,,,
311,Business and administration,Business Studies,DB512,218,,203,,203,,308,8,Dublin Business School,,avp,,,,,,,,,
312,Business and administration,Business Studies (Law),DB514,252,,,,251,,270,8,Dublin Business School,,avp,,,,,,,,,
313,Business and administration,Business Studies (Human Resource Management),DB515,244,,244,,244,,326,8,Dublin Business School,,avp,,,,,,,,,
314,Business and administration,Financial Services,DB516,,,,,,,,8,Dublin Business School,,,,,,,,,,,
315,Business and administration,Marketing (Event Management),DB517,238,,,,238,,309,8,Dublin Business School,,avp,,,,,,,,,
316,Business and administration,Accounting and Finance,DB521,225,,195,,195,,318,8,Dublin Business School,,avp,,,,,,,,,
317,Information and Communication Technologies (ICTs),Business (Information Systems),DB524,342,,309,,309,,409,8,Dublin Business School,,avp,,,,,,,,,
318,Information and Communication Technologies (ICTs),Business (Cloud Computing),DB526,347,,,,347,,423,8,Dublin Business School,,avp,,,,,,,,,
319,Social and behavioural sciences,Applied Social Care,DB527,234,,260,,234,,306,8,Dublin Business School,,avp,,,,,,,,,
320,Social and behavioural sciences,Applied Social Care,DB528,AQA,,AQA,,AQA,,337,7,Dublin Business School,,avp,,,,,,,,,
321,Business and administration,Marketing,DB531,293,,,,293,,336,8,Dublin Business School,,avp,,,,,,,,,
322,Arts,Sound Engineering and Music Production,DB534,AQA,,AQA,,AQA,,338,6,Dublin Business School,,avp,,,,,,,,,
323,Social and behavioural sciences,Psychology,DB562,243,,229,,229,,322,8,Dublin Business School,,avp,,,,,,,,,
324,Arts,Arts,DB563,161,,189,,161,,357,6,Dublin Business School,,avp,,,,,,,,,
325,Social and behavioural sciences,Social Science,DB566,220,,227,,220,,290,8,Dublin Business School,,avp,,,,,,,,,
326,Arts,Film and Creative Media,DB567,218,,202,,202,,290,8,Dublin Business School,,avp,,,,,,,,,
327,Law,Law,DB568,219,,252,,217,,309,8,Dublin Business School,,avp,,,,,,,,,
328,Business and administration,Business (Psychology),DB569,252,,,,252,,284,8,Dublin Business School,,avp,,,,,,,,,
329,Business and administration,Business Studies,DB571,173,,211,,122,,398,7,Dublin Business School,,avp,,,,,,,,,
330,Business and administration,Business in Accounting,DB572,119,,117,,117,,368,7,Dublin Business School,,avp,,,,,,,,,
331,Business and administration,Business in Marketing,DB573,117,,146,,117,,388,7,Dublin Business School,,avp,,,,,,,,,
332,Information and Communication Technologies (ICTs),Business in Information Technology,DB574,136,,388,,136,,388,7,Dublin Business School,,avp,,,,,,,,,
333,Arts,Film and Creative Media,DB576,AQA,,AQA,,AQA,,338,7,Dublin Business School,,avp,,,,,,,,,
334,Education,Education - Early Childhood Education,DC001,440,,,,440,,462,8,Dublin City University,,,,,,,,,,,
335,Education,Education - Primary Teaching,DC002,488,,,,488,,520,8,Dublin City University,,,,,,,,,,,
336,Education,Education - Primary Teaching - Gaeltacht Applicants,DC003,445,,,,445,,462,8,Dublin City University,#,,,,,,,,,,
337,Education,Education - Primary Teaching (Church of Ireland Centre formerly CICE),DC004,411,,409,,409,,463,8,Dublin City University,#,,,,,,,,,,
338,Arts,Arts (Joint Honours) - Humanities,DC009,376,,,,376,,423,8,Dublin City University,,,,,,,,,,,
339,Education,Post Primary Teacher Education - Religious Education and English,DC010,441,,429,,429,,465,8,Dublin City University,,,,,,,,,,,
340,Education,Post Primary Teacher Education - Religious Education and History,DC011,412,,391,,391,,429,8,Dublin City University,,,,,,,,,,,
341,Education,Post Primary Teacher Education - Religious Education and Music,DC012,378,,,,378,,420,8,Dublin City University,#,,,,,,,,,,
342,Education,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,DC013,419,,,,419,,487,8,Dublin City University,,,,,,,,,,,
343,Arts,BA in Jazz and Contemporary Music Performance (audition),DC014,419,,,,419,,605,8,Dublin City University,#,,,,,,,,,,
344,Languages,Business Studies International,DC110,465,,,,465,,488,8,Dublin City University,,,,,,,,,,,
345,Business and administration,Business Studies,DC111,488,,,,488,,507,8,Dublin City University,,,,,,,,,,,
346,Business and administration,Global Business (France),DC112,517,,510,,510,,532,8,Dublin City University,,,,,,,,,,,
347,Business and administration,Global Business (Germany),DC113,462,,,,462,,496,8,Dublin City University,,,,,,,,,,,
348,Business and administration,Global Business (Spain),DC114,522,,,,522,,545,8,Dublin City University,,,,,,,,,,,
349,Business and administration,Accounting and Finance,DC115,510,,,,510,,544,8,Dublin City University,,,,,,,,,,,
350,Business and administration,Global Business (USA),DC116,579,,,,579,,601,8,Dublin City University,,,,,,,,,,,
351,Engineering and engineering trades,Aviation Management / Aviation Management with Pilot Studies,DC117,476,,475,,475,,500,8,Dublin City University,,,,,,,,,,,
352,Business and administration,Gnó agus Gaeilge / Business and Irish,DC118,359,,,,359,,429,8,Dublin City University,,,,,,,,,,,
353,Business and administration,Global Business (Canada),DC119,564,,,,564,,577,8,Dublin City University,,,,,,,,,,,
354,Information and Communication Technologies (ICTs),Enterprise Computing,DC120,357,,,,357,,392,8,Dublin City University,,,,,,,,,,,
355,Information and Communication Technologies (ICTs),Computer Applications,DC121,400,,,,400,,455,8,Dublin City University,,,,,,,,,,,
356,Information and Communication Technologies (ICTs),Data Science,DC123,465,,,,465,,531,8,Dublin City University,,,,,,,,,,,
357,Mathematics and statistics,Actuarial Mathematics,DC126,560,,,,560,,578,8,Dublin City University,,,,,,,,,,,
358,Mathematics and statistics,Common Entry into Actuarial and Financial Mathematics,DC127,532,,520,,520,,543,8,Dublin City University,,,,,,,,,,,
359,Humanities (except languages),Communication Studies,DC131,407,,402,,402,,451,8,Dublin City University,,,,,,,,,,,
360,Journalism and information,Journalism,DC132,429,,422,,422,,466,8,Dublin City University,,,,,,,,,,,
